"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL561251","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(Br)cc2Cl)c3ccc(F)cc3C(F)(F)F","T1/2",">","0.5","hr","515.75","5.51","49","1"
"CHEMBL2322709","CHEMBL2327916","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)[C@@](O)(C(=O)N)C(F)(F)F)c3ccc(F)cc3C(F)(F)F","T1/2","=","0.1667","hr","543.46","3.46","112.32","0"
"CHEMBL2322710","CHEMBL2327916","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)[C@](O)(C(=O)N)C(F)(F)F)c3ccc(F)cc3C(F)(F)F","T1/2","=","0.45","hr","543.46","3.46","112.32","0"
"CHEMBL551186","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)C#N)c3ccc(F)cc3C(F)(F)F","T1/2","=","0.3","hr","427.42","3.98","72.78","0"
"CHEMBL560775","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)C(=O)N)c3ccc(F)cc3C(F)(F)F","T1/2",">","0.5","hr","445.43","3.1","92.08","1"
"CHEMBL563106","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)c3nnn[nH]3)c4ccc(F)cc4C(F)(F)F","T1/2",">","0.5","hr","470.44","3.13","103.46","1"
"CHEMBL549954","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)N3CCCCC3)c4ccc(F)cc4C(F)(F)F","T1/2",">","0.5","hr","485.54","5.18","52.24","1"
"CHEMBL557500","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2)N3CCOCC3)c4ccc(F)cc4C(F)(F)F","T1/2",">","0.5","hr","487.51","3.95","61.47","1"
"CHEMBL550560","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2Cl)C#N)c3ccc(F)cc3C(F)(F)F","T1/2","=","0.2333","hr","461.86","4.65","72.78","0"
"CHEMBL550175","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(cc2Cl)C(=O)N)c3ccc(F)cc3C(F)(F)F","T1/2",">","0.5","hr","479.88","3.77","92.08","1"
